model,num_epochs,num_train,accuracy
deep_fir_zero,10,600,0.7916666865348816
deep_fir_zero,10,1200,0.9370833396911621
deep_fir_zero,10,2400,0.9825000166893005
deep_fir_zero,10,4200,0.9829166531562805
deep_cheb,10,600,0.29499998688697815
deep_cheb,10,1200,0.4983333349227905
deep_cheb,10,2400,0.6979166865348816
deep_cheb,10,4200,0.8258333206176758
deep_cheb_zero,10,600,0.2645833194255829
deep_cheb_zero,10,1200,0.3149999976158142
deep_cheb_zero,10,2400,0.5720833539962769
deep_cheb_zero,10,4200,0.7366666793823242
deep_fir,10,600,0.8166666626930237
deep_fir,10,1200,0.9854166507720947
deep_fir,10,2400,0.997083306312561
deep_fir,10,4200,0.9995833039283752
deep_fir_zero,10,600,0.8987500071525574
deep_fir_zero,10,1200,0.9433333539962769
deep_fir_zero,10,2400,0.9754166603088379
deep_fir_zero,10,4200,0.9787499904632568
deep_cheb,10,600,0.33000001311302185
deep_cheb,10,1200,0.5458333492279053
deep_cheb,10,2400,0.706250011920929
deep_cheb,10,4200,0.7766666412353516
deep_cheb_zero,10,600,0.24833333492279053
deep_cheb_zero,10,1200,0.34291666746139526
deep_cheb_zero,10,2400,0.5487499833106995
deep_cheb_zero,10,4200,0.6899999976158142
deep_fir,10,600,0.85958331823349
deep_fir,10,1200,0.9879166483879089
deep_fir,10,2400,0.9908333420753479
deep_fir,10,4200,0.9479166865348816
deep_fir_zero,10,600,0.7837499976158142
deep_fir_zero,10,1200,0.8662499785423279
deep_fir_zero,10,2400,0.971666693687439
deep_fir_zero,10,4200,0.9774999713897705
deep_cheb,10,5400,0.8383333086967468
deep_cheb_zero,10,5400,0.76541668176651
deep_fir,10,5400,1.0
deep_fir_zero,10,5400,0.9854166507720947
deep_cheb,10,5400,0.8104166388511658
deep_cheb_zero,10,5400,0.7554166913032532
deep_fir,10,5400,1.0
deep_fir_zero,10,5400,0.9884166555404663
deep_cheb,10,5400,0.8429166674613953
deep_cheb_zero,10,5400,0.7445833086967468
deep_fir,10,5400,0.9987499713897705
deep_fir_zero,10,5400,0.9850833206176758
deep_cheb,10,5400,0.8149999976158142
deep_cheb_zero,10,5400,0.7370833158493042
deep_cheb,10,10000,0.877916693687439
deep_cheb_zero,10,10000,0.7895833253860474
deep_fir,10,10000,1.0
deep_fir_zero,10,10000,0.9925000071525574
deep_cheb,10,10000,0.9070833325386047
deep_cheb_zero,10,10000,0.76583331823349
deep_fir_zero,30,1200,0.971666693687439
deep_fir_zero,30,1200,0.9837499856948853
deep_fir_zero,30,1200,0.9674999713897705
deep_fir_zero,30,1200,0.98416668176651
deep_fir,30,1200,0.9958333373069763
deep_fir,30,1200,1.0
deep_fir_zero,20,600,0.8270833492279053
deep_fir_zero,20,600,0.8520833253860474
deep_fir_zero,20,600,0.8712499737739563
